Suburb,Postcode,State,Address,Lat,Lng,Local government area
Sunbury,3429,VIC,"Sunbury,3429,VIC",-37.581111,144.713889,City of Hume
Wildwood,3429,VIC,"Wildwood,3429,VIC",-37.5718,144.7935,City of Hume
Clarkefield,3430,VIC,"Clarkefield,3430,VIC",-37.497542,144.8071366,City of Hume;Shire of Macedon Ranges
Matlock,3723,VIC,"Matlock,3723,VIC",-37.5890036,146.168466,Shire of Yarra Ranges;Shire of Mansfield
Wollert,3750,VIC,"Wollert,3750,VIC",-37.5891893,144.9942305,City of Whittlesea
South Morang,3752,VIC,"South Morang,3752,VIC",-37.6377485,145.082419,City of Whittlesea
Beveridge,3753,VIC,"Beveridge,3753,VIC",-37.4822825,144.9832134,City of Whittlesea;Shire of Mitchell
Doreen,3754,VIC,"Doreen,3754,VIC",-37.605,145.146,Shire of Nillumbik(as a rural locality);City of Whittlesea(as a suburb)
Mernda,3754,VIC,"Mernda,3754,VIC",-37.5892795,145.103791,City of Whittlesea
Woodstock,3755,VIC,"Woodstock,3755,VIC",-37.5474779,145.1486206,City of Whittlesea
Yan Yean,3755,VIC,"Yan Yean,3755,VIC",-37.5474779,145.1486206,Shire of Nillumbik;City of Whittlesea
Eden Park,3757,VIC,"Eden Park,3757,VIC",-37.489,145.07,City of Whittlesea
Humevale,3757,VIC,"Humevale,3757,VIC",-37.497,145.175,City of Whittlesea
Whittlesea,3757,VIC,"Whittlesea,3757,VIC",-37.513889,145.113889,City of Whittlesea
Panton Hill,3759,VIC,"Panton Hill,3759,VIC",-37.6400391,145.2424941,Shire of Nillumbik
Smiths Gully,3760,VIC,"Smiths Gully,3760,VIC",-37.6267001,145.2867055,Shire of Nillumbik
St Andrews,3761,VIC,"St Andrews,3761,VIC",-37.5919774,145.2811778,Shire of Nillumbik
Kinglake,3763,VIC,"Kinglake,3763,VIC",-37.518382,145.3591263,Shire of Nillumbik;Shire of Murrindindi
Montrose,3765,VIC,"Montrose,3765,VIC",-37.8083883,145.353065,Shire of Yarra Ranges
Kalorama,3766,VIC,"Kalorama,3766,VIC",-37.8194936,145.3862638,Shire of Yarra Ranges
Mount Dandenong,3767,VIC,"Mount Dandenong,3767,VIC",-37.8421584,145.3420015,Shire of Yarra Ranges
Coldstream,3770,VIC,"Coldstream,3770,VIC",-37.734,145.383,Shire of Yarra Ranges
Gruyere,3770,VIC,"Gruyere,3770,VIC",-37.734,145.45,Shire of Yarra Ranges
Yering,3770,VIC,"Yering,3770,VIC",-37.7002209,145.3582514,Shire of Yarra Ranges
Christmas Hills,3775,VIC,"Christmas Hills,3775,VIC",-37.6515,145.3173,Shire of Nillumbik
Dixons Creek,3775,VIC,"Dixons Creek,3775,VIC",-37.6,145.416667,Shire of Yarra Ranges
Steels Creek,3775,VIC,"Steels Creek,3775,VIC",-37.594,145.374,Shire of Yarra Ranges
Tarrawarra,3775,VIC,"Tarrawarra,3775,VIC",-37.6469756,145.4363814,Shire of Yarra Ranges
Yarra Glen,3775,VIC,"Yarra Glen,3775,VIC",-37.648889,145.371944,Shire of Yarra Ranges
Badger Creek,3777,VIC,"Badger Creek,3777,VIC",-37.685,145.538,Shire of Yarra Ranges
Chum Creek,3777,VIC,"Chum Creek,3777,VIC",-37.606,145.488,Shire of Yarra Ranges
Healesville,3777,VIC,"Healesville,3777,VIC",-37.656111,145.513889,Shire of Yarra Ranges
Mount Toolebewong,3777,VIC,"Mount Toolebewong,3777,VIC",-37.702,145.572,Shire of Yarra Ranges
Toolangi,3777,VIC,"Toolangi,3777,VIC",-37.533333,145.466667,Shire of Nillumbik
Fernshaw,3778,VIC,"Fernshaw,3778,VIC",-37.616115,145.6383617,Shire of Yarra Ranges
Kinglake West,3778,VIC,"Kinglake West,3778,VIC",-37.466667,145.233333,Shire of Nillumbik;Shire of Murrindindi;City of Whittlesea
Cambarville,3779,VIC,"Cambarville,3779,VIC",-37.6105261,146.0129789,Shire of Yarra Ranges
Cockatoo,3781,VIC,"Cockatoo,3781,VIC",-37.935,145.492,Shire of Cardinia
Mount Burnett,3781,VIC,"Mount Burnett,3781,VIC",-37.9767584,145.5145727,Shire of Cardinia
Nangana,3781,VIC,"Nangana,3781,VIC",-37.866667,145.533333,Shire of Cardinia
Avonsleigh,3782,VIC,"Avonsleigh,3782,VIC",-37.925,145.481944,Shire of Cardinia
Clematis,3782,VIC,"Clematis,3782,VIC",-37.9322058,145.4222435,Shire of Cardinia
Emerald,3782,VIC,"Emerald,3782,VIC",-37.933056,145.436944,Shire of Cardinia;Shire of Yarra Ranges
Macclesfield,3782,VIC,"Macclesfield,3782,VIC",-37.883,145.477,Shire of Yarra Ranges
Gembrook,3783,VIC,"Gembrook,3783,VIC",-37.9524044,145.6023644,Shire of Cardinia
Tremont,3785,VIC,"Tremont,3785,VIC",-37.8782906,145.3171139,Shire of Yarra Ranges
Ferny Creek,3786,VIC,"Ferny Creek,3786,VIC",-37.8759058,145.3309395,Shire of Yarra Ranges
Sassafras,3787,VIC,"Sassafras,3787,VIC",-37.8645935,145.353065,City of Knox
Sassafras,3787,VIC,"Sassafras,3787,VIC",-37.8645935,145.353065,Shire of Yarra Ranges
Olinda,3788,VIC,"Olinda,3788,VIC",-37.8532703,145.3751961,Shire of Yarra Ranges
Sherbrooke,3789,VIC,"Sherbrooke,3789,VIC",-37.8963853,145.3641298,Shire of Yarra Ranges
Kallista,3791,VIC,"Kallista,3791,VIC",-37.9051015,145.4111713,Shire of Yarra Ranges
The Patch,3792,VIC,"The Patch,3792,VIC",-37.8887708,145.3973329,Shire of Yarra Ranges
Monbulk,3793,VIC,"Monbulk,3793,VIC",-37.8689357,145.4360858,Shire of Yarra Ranges
Silvan,3795,VIC,"Silvan,3795,VIC",-37.8342877,145.4305486,Shire of Yarra Ranges
Mount Evelyn,3796,VIC,"Mount Evelyn,3796,VIC",-37.7791563,145.3917982,Shire of Yarra Ranges
Gilderoy,3797,VIC,"Gilderoy,3797,VIC",-37.851396,145.7249828,Shire of Yarra Ranges
Gladysdale,3797,VIC,"Gladysdale,3797,VIC",-37.816667,145.65,Shire of Yarra Ranges
Powelltown,3797,VIC,"Powelltown,3797,VIC",-37.865,145.753,Shire of Yarra Ranges
Three Bridges,3797,VIC,"Three Bridges,3797,VIC",-37.833333,145.683333,Shire of Yarra Ranges
Yarra Junction,3797,VIC,"Yarra Junction,3797,VIC",-37.779,145.606,Shire of Yarra Ranges
Big Pats Creek,3799,VIC,"Big Pats Creek,3799,VIC",-37.7638978,145.750833,Shire of Yarra Ranges
McMahons Creek,3799,VIC,"McMahons Creek,3799,VIC",-37.6980957,145.8360275,Shire of Yarra Ranges
Millgrove,3799,VIC,"Millgrove,3799,VIC",-37.7448481,145.6507039,Shire of Yarra Ranges
Reefton,3799,VIC,"Reefton,3799,VIC",-37.6687532,145.8535353,Shire of Yarra Ranges
Warburton,3799,VIC,"Warburton,3799,VIC",-37.7525378,145.6948397,Shire of Yarra Ranges
Warburton East,3799,VIC,"Warburton East,3799,VIC",-37.7370439,145.7421233,Shire of Yarra Ranges
Wesburn,3799,VIC,"Wesburn,3799,VIC",-37.767,145.647,Shire of Yarra Ranges
Monash University,3800,VIC,"Monash University,3800,VIC",-37.9105238,145.1362182,City of Monash
Endeavour Hills,3802,VIC,"Endeavour Hills,3802,VIC",-37.9780214,145.2590707,City of Casey
Hallam,3803,VIC,"Hallam,3803,VIC",-38.0069505,145.2756505,City of Casey
Narre Warren East,3804,VIC,"Narre Warren East,3804,VIC",-37.961,145.367,Shire of Yarra Ranges
Narre Warren North,3804,VIC,"Narre Warren North,3804,VIC",-37.982,145.314,City of Casey
Narre Warren,3805,VIC,"Narre Warren,3805,VIC",-38.0302499,145.3032906,City of Casey
Narre Warren South,3805,VIC,"Narre Warren South,3805,VIC",-38.055,145.303,City of Casey
Berwick,3806,VIC,"Berwick,3806,VIC",-38.0309443,145.3437469,City of Casey
Harkaway,3806,VIC,"Harkaway,3806,VIC",-37.999,145.344,City of Casey
Beaconsfield,3807,VIC,"Beaconsfield,3807,VIC",-38.049,145.371,Shire of Cardinia
Guys Hill,3807,VIC,"Guys Hill,3807,VIC",-38.017,145.386,Shire of Cardinia
Beaconsfield Upper,3808,VIC,"Beaconsfield Upper,3808,VIC",-37.9982063,145.4237893,Shire of Cardinia
Dewhurst,3809,VIC,"Dewhurst,3809,VIC",-37.9844362,145.4665466,Shire of Cardinia
Officer,3809,VIC,"Officer,3809,VIC",-38.058056,145.408889,Shire of Cardinia
Officer South,3809,VIC,"Officer South,3809,VIC",-38.1003957,145.4132472,Shire of Cardinia
Pakenham,3810,VIC,"Pakenham,3810,VIC",-38.073568,145.4851308,Shire of Cardinia
Pakenham South,3810,VIC,"Pakenham South,3810,VIC",-38.134338,145.5025595,Shire of Cardinia
Pakenham Upper,3810,VIC,"Pakenham Upper,3810,VIC",-38.0034676,145.5025595,Shire of Cardinia
Rythdale,3810,VIC,"Rythdale,3810,VIC",-38.15,145.456,Shire of Cardinia
Maryknoll,3812,VIC,"Maryknoll,3812,VIC",-38.032,145.602,Shire of Cardinia
Nar Nar Goon,3812,VIC,"Nar Nar Goon,3812,VIC",-38.081944,145.575,Shire of Cardinia
Nar Nar Goon North,3812,VIC,"Nar Nar Goon North,3812,VIC",-38.019,145.551,Shire of Cardinia
Tynong,3813,VIC,"Tynong,3813,VIC",-38.083333,145.616667,Shire of Cardinia
Tynong North,3813,VIC,"Tynong North,3813,VIC",-38.0345542,145.6294143,Shire of Cardinia
Cora Lynn,3814,VIC,"Cora Lynn,3814,VIC",-38.145278,145.605833,Shire of Cardinia
Garfield,3814,VIC,"Garfield,3814,VIC",-38.0999051,145.6800684,Shire of Cardinia
Garfield North,3814,VIC,"Garfield North,3814,VIC",-38.05,145.683333,Shire of Cardinia
Vervale,3814,VIC,"Vervale,3814,VIC",-38.133333,145.666667,Shire of Cardinia
Bunyip,3815,VIC,"Bunyip,3815,VIC",-38.1000508,145.7189396,Shire of Cardinia
Bunyip North,3815,VIC,"Bunyip North,3815,VIC",-38.0738337,145.7467832,Shire of Cardinia
Iona,3815,VIC,"Iona,3815,VIC",-38.15,145.683333,Shire of Cardinia
Tonimbuk,3815,VIC,"Tonimbuk,3815,VIC",-38.0206756,145.7182515,Shire of Cardinia
Longwarry,3816,VIC,"Longwarry,3816,VIC",-38.1110794,145.7663288,Shire of Cardinia;Shire of Baw Baw
Modella,3816,VIC,"Modella,3816,VIC",-38.183333,145.716667,Shire of Cardinia;Shire of Baw Baw
Toorongo,3833,VIC,"Toorongo,3833,VIC",-37.7755298,146.0868854,Shire of Yarra Ranges
Koo Wee Rup North,3891,VIC,"Koo Wee Rup North,3891,VIC",-38.1486911,145.5385871,Shire of Cardinia
Lang Lang East,3894,VIC,"Lang Lang East,3894,VIC",-38.2728983,145.6523091,Shire of Cardinia
Yannathan,3894,VIC,"Yannathan,3894,VIC",-38.233333,145.633333,Shire of Cardinia
Langwarrin,3910,VIC,"Langwarrin,3910,VIC",-38.1608986,145.1927835,City of Frankston
Baxter,3911,VIC,"Baxter,3911,VIC",-38.196,145.157,Shire of Mornington Peninsula
Langwarrin South,3911,VIC,"Langwarrin South,3911,VIC",-38.189,145.189,City of Frankston
Pearcedale,3912,VIC,"Pearcedale,3912,VIC",-38.203,145.231,City of Casey
Somerville,3912,VIC,"Somerville,3912,VIC",-38.226,145.177,Shire of Mornington Peninsula(adjacent toWestern Port)
Tyabb,3913,VIC,"Tyabb,3913,VIC",-38.2651079,145.1706992,Shire of Mornington Peninsula(adjacent toWestern Port)
Hastings,3915,VIC,"Hastings,3915,VIC",-38.306,145.189,Shire of Mornington Peninsula(adjacent toWestern Port)
Tuerong,3915,VIC,"Tuerong,3915,VIC",-38.3,145.105,Shire of Mornington Peninsula
Merricks,3916,VIC,"Merricks,3916,VIC",-38.39,145.089,Shire of Mornington Peninsula
Point Leo,3916,VIC,"Point Leo,3916,VIC",-38.421,145.075,Shire of Mornington Peninsula
Shoreham,3916,VIC,"Shoreham,3916,VIC",-38.427,145.05,Shire of Mornington Peninsula
Bittern,3918,VIC,"Bittern,3918,VIC",-38.3329437,145.165179,Shire of Mornington Peninsula(adjacent toWestern Port)
Crib Point,3919,VIC,"Crib Point,3919,VIC",-38.3534427,145.1983055,Shire of Mornington Peninsula(adjacent toWestern Port)
HMAS Cerberus,3920,VIC,"HMAS Cerberus,3920,VIC",-38.3943242,145.2093505,Shire of Mornington Peninsula
Balnarring,3926,VIC,"Balnarring,3926,VIC",-38.371,145.118,Shire of Mornington Peninsula
Balnarring Beach,3926,VIC,"Balnarring Beach,3926,VIC",-38.3889938,145.1182718,Shire of Mornington Peninsula
Merricks Beach,3926,VIC,"Merricks Beach,3926,VIC",-38.398,145.106,Shire of Mornington Peninsula
Merricks North,3926,VIC,"Merricks North,3926,VIC",-38.354,145.075,Shire of Mornington Peninsula
Somers,3927,VIC,"Somers,3927,VIC",-38.3793743,145.165179,Shire of Mornington Peninsula
Main Ridge,3928,VIC,"Main Ridge,3928,VIC",-38.4018779,144.9721978,Shire of Mornington Peninsula
Flinders,3929,VIC,"Flinders,3929,VIC",-38.4574538,144.9721978,Shire of Mornington Peninsula
Mount Eliza,3930,VIC,"Mount Eliza,3930,VIC",-38.1952209,145.0879338,Shire of Mornington Peninsula(adjacent toPort Phillip)
Mornington,3931,VIC,"Mornington,3931,VIC",-38.2277083,145.0603633,Shire of Mornington Peninsula(adjacent toPort Phillip)
Moorooduc,3933,VIC,"Moorooduc,3933,VIC",-38.2501593,145.1265477,Shire of Mornington Peninsula
Mount Martha,3934,VIC,"Mount Martha,3934,VIC",-38.287039,145.016269,Shire of Mornington Peninsula(adjacent toPort Phillip)
Arthurs Seat,3936,VIC,"Arthurs Seat,3936,VIC",-38.352,144.953,Shire of Mornington Peninsula
Dromana,3936,VIC,"Dromana,3936,VIC",-38.338,144.965,Shire of Mornington Peninsula(adjacent toPort Phillip)
Safety Beach,3936,VIC,"Safety Beach,3936,VIC",-38.322,144.986,Shire of Mornington Peninsula(adjacent toPort Phillip)
Red Hill,3937,VIC,"Red Hill,3937,VIC",-38.355,145.016,Shire of Mornington Peninsula
Red Hill South,3937,VIC,"Red Hill South,3937,VIC",-38.384,145.024,Shire of Mornington Peninsula
McCrae,3938,VIC,"McCrae,3938,VIC",-38.3562816,144.9336544,Shire of Mornington Peninsula(adjacent toPort Phillip)
Boneo,3939,VIC,"Boneo,3939,VIC",-38.413,144.888,Shire of Mornington Peninsula
Cape Schanck,3939,VIC,"Cape Schanck,3939,VIC",-38.461,144.905,Shire of Mornington Peninsula
Fingal,3939,VIC,"Fingal,3939,VIC",-38.421111,144.861111,Shire of Mornington Peninsula
Rosebud,3939,VIC,"Rosebud,3939,VIC",-38.356,144.918,Shire of Mornington Peninsula(adjacent toPort Phillip)
Capel Sound,3940,VIC,"Capel Sound,3940,VIC",-38.3745297,144.8786231,Shire of Mornington Peninsula(adjacent toPort Phillip)
Rye,3941,VIC,"Rye,3941,VIC",-38.377,144.838,Shire of Mornington Peninsula(adjacent toPort Phillip)
St Andrews Beach,3941,VIC,"St Andrews Beach,3941,VIC",-38.419,144.83,Shire of Mornington Peninsula(adjacent toPort Phillip)
Tootgarook,3941,VIC,"Tootgarook,3941,VIC",-38.374,144.849,Shire of Mornington Peninsula(adjacent toPort Phillip)
Blairgowrie,3942,VIC,"Blairgowrie,3942,VIC",-38.3645949,144.7686693,Shire of Mornington Peninsula(adjacent toPort Phillip)
Sorrento,3943,VIC,"Sorrento,3943,VIC",-38.3477833,144.746696,Shire of Mornington Peninsula(adjacent toPort Phillip)
Portsea,3944,VIC,"Portsea,3944,VIC",-38.32,144.713,Shire of Mornington Peninsula(adjacent toPort Phillip)
Lynbrook,3975,VIC,"Lynbrook,3975,VIC",-38.05,145.252,City of Casey
Lyndhurst,3975,VIC,"Lyndhurst,3975,VIC",-38.0704681,145.2424941,City of Casey(as a suburb);City of Greater Dandenong(as a rural locality)
Hampton Park,3976,VIC,"Hampton Park,3976,VIC",-38.0349647,145.2756505,City of Casey
Botanic Ridge,3977,VIC,"Botanic Ridge,3977,VIC",-38.144,145.267,City of Casey
Cannons Creek,3977,VIC,"Cannons Creek,3977,VIC",-38.213,145.315,City of Casey
Cranbourne,3977,VIC,"Cranbourne,3977,VIC",-38.105,145.279,City of Casey
Cranbourne East,3977,VIC,"Cranbourne East,3977,VIC",-38.105,145.279,City of Casey
Cranbourne North,3977,VIC,"Cranbourne North,3977,VIC",-38.07,145.291,City of Casey
Cranbourne South,3977,VIC,"Cranbourne South,3977,VIC",-38.1581064,145.2535448,City of Casey
Devon Meadows,3977,VIC,"Devon Meadows,3977,VIC",-38.162,145.303,City of Casey
Junction Village,3977,VIC,"Junction Village,3977,VIC",-38.132,145.293,City of Casey
Sandhurst,3977,VIC,"Sandhurst,3977,VIC",-38.081,145.207,City of Frankston
Skye,3977,VIC,"Skye,3977,VIC",-38.119,145.2,City of Frankston
Tooradin North,3977,VIC,"Tooradin North,3977,VIC",-38.211111,145.38,Shire of Cardinia
Cardinia,3978,VIC,"Cardinia,3978,VIC",-38.147,145.423,Shire of Cardinia
Clyde,3978,VIC,"Clyde,3978,VIC",-38.132,145.327,City of Casey
Clyde North,3978,VIC,"Clyde North,3978,VIC",-38.1062834,145.3484256,City of Casey
Blind Bight,3980,VIC,"Blind Bight,3980,VIC",-38.2138627,145.339912,City of Casey
Tooradin,3980,VIC,"Tooradin,3980,VIC",-38.211111,145.38,City of Casey
Warneet,3980,VIC,"Warneet,3980,VIC",-38.224,145.309,City of Casey
Bayles,3981,VIC,"Bayles,3981,VIC",-38.182,145.575,Shire of Cardinia
Catani,3981,VIC,"Catani,3981,VIC",-38.183333,145.65,Shire of Cardinia
Dalmore,3981,VIC,"Dalmore,3981,VIC",-38.19,145.425,Shire of Cardinia
Heath Hill,3981,VIC,"Heath Hill,3981,VIC",-38.244,145.692,Shire of Cardinia;Shire of Baw Baw
Koo Wee Rup,3981,VIC,"Koo Wee Rup,3981,VIC",-38.198,145.489,Shire of Cardinia
Caldermeade,3984,VIC,"Caldermeade,3984,VIC",-38.2380228,145.576448,Shire of Cardinia
Lang Lang,3984,VIC,"Lang Lang,3984,VIC",-38.266667,145.566667,Shire of Cardinia
Monomeith,3984,VIC,"Monomeith,3984,VIC",-38.2155589,145.5378941,Shire of Cardinia
Nyora,3987,VIC,"Nyora,3987,VIC",-38.3054452,145.6800684,Shire of Cardinia;South Gippsland Shire;Shire of Baw Baw
